Name,Total Citations,h-index,5 year h-index,i10-index,5 year i10-index
"RUOHOLA-BAKER, HANNELE",NA,NA,NA,NA,NA
"CAPORASO, JAMES",NA,NA,NA,NA,NA
"BANKS, JAMES",1641,13,13,14,13
"VOGT, KRISTIINA",NA,NA,NA,NA,NA
"CULLEN, ALISON",1877,20,12,26,13
"MOY, PATRICIA",NA,NA,NA,NA,NA
"PALLANCK, LEO",NA,NA,NA,NA,NA
"HOLZWORTH, ROBERT",NA,NA,NA,NA,NA
"ANDERSEN, NIELS",NA,NA,NA,NA,NA
"TURECEK, FRANTISEK",NA,NA,NA,NA,NA
"BURGETT, BRUCE",NA,NA,NA,NA,NA
"LENGUA, LILIANA",7238,39,33,60,58
"QUINN, THOMAS",23272,78,39,287,206
"SHARPE, STEPHEN",32902,58,23,133,57
"SMITH, RONALD",19913,75,43,196,118
"JAEGLE, LYATT",NA,NA,NA,NA,NA
"GODOY, ANGELINA",NA,NA,NA,NA,NA
"LI, XIAOSONG",122117,38,29,101,76
"LAGUNOFF, MICHAEL",NA,NA,NA,NA,NA
"THOMPSON, HILAIRE",3650,32,25,65,55
"KAZEMI, ELHAM",3700,22,19,28,23
"HAKIM, GREGORY",8605,26,20,46,37
"SLAYTON, REBECCA",NA,NA,NA,NA,NA
"MACDONALD, GINGER",1664,9,5,7,4
"HARRISON, ROBERT",2650,28,15,59,33
"CHAN, KAM",6162,30,24,44,27
"ATKINS, WILLIAM",NA,NA,NA,NA,NA
"BERGSTROM, CARL",10862,48,35,82,70
"THOMAS, LYNN",NA,NA,NA,NA,NA
"WINN, JANE",NA,NA,NA,NA,NA
"HILBORN, RAY",38819,89,55,333,224
"UHLMANN, GUNTHER",13532,60,40,192,144
"YOUNG, GRAHAM",6579,47,19,111,42
"HUGHES, JAMES",NA,NA,NA,NA,NA
"ERIKSEN, CHARLES",NA,NA,NA,NA,NA
"MARZLUFF, JOHN",NA,NA,NA,NA,NA
"QUINN, THOMAS",23272,78,39,287,206
"LEVY, DAVID",NA,NA,NA,NA,NA
"BACHMAN, DAVID",NA,NA,NA,NA,NA
"BERNINGER, VIRGINIA",NA,NA,NA,NA,NA
"KRISHNAN, KANNAN",11571,51,34,169,89
"THORNTON, JOEL",5863,43,37,87,85
"KEIL, RICHARD",NA,NA,NA,NA,NA
"LOVELL, GEORGE",NA,NA,NA,NA,NA
"HALVORSEN, ROBERT",NA,NA,NA,NA,NA
"LINEHAN, MARSHA",47090,82,60,194,148
"DECONINCK, BERNARD",NA,NA,NA,NA,NA
"BRUCKNER, ADAM",NA,NA,NA,NA,NA
"KELLER, SARAH",7094,31,23,39,30
"FISHER, KAREN",5781,36,24,63,42
"MALTE, PHILIP",NA,NA,NA,NA,NA
"PUNT, ANDRE",15925,61,42,290,189
"ANDREEV, ANTON",NA,NA,NA,NA,NA
"BRADSHAW, HARVEY",NA,NA,NA,NA,NA
"BURBACHER, THOMAS",NA,NA,NA,NA,NA
"GREGORY, JAMES",NA,NA,NA,NA,NA
"CREAGER, KENNETH",4831,41,24,65,40
"SAHR, JOHN",NA,NA,NA,NA,NA
"BOXX, KAREN",NA,NA,NA,NA,NA
"BOLLEN, ANNE-MARIE",NA,NA,NA,NA,NA
"ESSINGTON, TIMOTHY",7491,41,29,90,83
"SHEN, I-YEU",NA,NA,NA,NA,NA
"LEIGH, JOHN",NA,NA,NA,NA,NA
"MEISCHKE, HENDRIKA",NA,NA,NA,NA,NA
"OLMSTEAD, MARJORIE",NA,NA,NA,NA,NA
"RISER, STEPHEN",NA,NA,NA,NA,NA
"FELSENSTEIN, JOSEPH",114319,73,42,139,78
"WILLIAMSON-LOTT, JOY",NA,NA,NA,NA,NA
"SIDOR, CHRISTIAN",3142,29,21,59,46
"MALY, DUSTIN",NA,NA,NA,NA,NA
"HASELKORN, MARK",NA,NA,NA,NA,NA
"ROBINSON, BRUCE",8782,48,23,128,47
"WONG, KAR-YIU",NA,NA,NA,NA,NA
"HOUCK, GAIL",NA,NA,NA,NA,NA
"LUBATTI, HENRY",NA,NA,NA,NA,NA
"OLMSTEAD, RICHARD",21558,69,42,142,108
"SKALSKI, JOHN",NA,NA,NA,NA,NA
"CATLING, DAVID",7376,47,35,92,78
"GOUSSIOU, ANNA",NA,NA,NA,NA,NA
"NYERGES, TIMOTHY",NA,NA,NA,NA,NA
"HATFIELD, MICHAEL",NA,NA,NA,NA,NA
"TOLNAY, STEWART",NA,NA,NA,NA,NA
"THOMPSON, LUANNE",NA,NA,NA,NA,NA
