,Name,Total Citations,h-index,5 year h-index,i10-index,5 year i10-index
100,"VIGDOR, JACOB",9543,40,33,69,58
101,"KHALIL, FAHAD",1495,14,11,15,12
102,"GRABOWSKI, THOMAS",NA,NA,NA,NA,NA
103,"FOREHAND, MARK",1677,17,16,23,20
104,"HEAGERTY, PATRICK",71459,66,48,171,143
105,"HORWITZ, MARSHALL",NA,NA,NA,NA,NA
106,"KAMARA, AVRAHAM",NA,NA,NA,NA,NA
107,"LIGGITT, H",NA,NA,NA,NA,NA
108,"MCCUTCHEN, DEBORAH",NA,NA,NA,NA,NA
109,"BEAUCHAMP, NORMAN",NA,NA,NA,NA,NA
110,"RATNER, BUDDY",NA,NA,NA,NA,NA
111,"NICKERSON, DEBORAH",49525,97,72,254,208
112,"RUBINSTEIN, JAY",NA,NA,NA,NA,NA
113,"ANDERSON, C",3856,30,19,63,35
114,"FREDRIKSEN GOLDSEN, KAREN",3061,27,23,50,44
115,"NOWELL, ARTHUR",NA,NA,NA,NA,NA
116,"SAUDAGARAN, SHAHROKH",2826,21,16,34,20
117,"STAHL, DAVID",56371,96,52,231,161
118,"ANDERSON, THOMAS",44865,90,51,164,121
119,"WALTERS, KARINA",3222,31,22,41,35
120,"VEITH, RICHARD",NA,NA,NA,NA,NA
121,"JENEKHE, SAMSON",31878,99,60,285,197
122,"OPP, MARK",NA,NA,NA,NA,NA
123,"ACKERMAN, THOMAS",NA,NA,NA,NA,NA
124,"LEVY, RONA",NA,NA,NA,NA,NA
125,"JIANG, SHAOYI",21367,79,59,240,198
126,"JAIN, SHAILENDRA",NA,NA,NA,NA,NA
127,"TAYA, MINORU",NA,NA,NA,NA,NA
128,"BAETEN, JARED",15432,61,51,180,166
129,"KING, MARY-CLAIRE",42005,91,55,215,130
130,"GORDON, SARA",NA,NA,NA,NA,NA
131,"CHAVKIN, CHARLES",16590,70,37,169,99
132,"ABBOTT, ROBERT",NA,NA,NA,NA,NA
133,"TERI, LINDA",NA,NA,NA,NA,NA
134,"ESCHENBACH, DAVID",NA,NA,NA,NA,NA
135,"GINGER, DAVID",14093,57,47,128,108
136,"AMORY, JOHN",NA,NA,NA,NA,NA
137,"GELB, MICHAEL",NA,NA,NA,NA,NA
138,"HARRIS, JEFFREY",6935,38,22,83,47
139,"KUTZ, JOSE",NA,NA,NA,NA,NA
140,"LONG, MARK",1801,19,17,23,21
141,"BANEYX, FRANCOIS",8938,38,23,72,48
142,"WONG, RACHEL",NA,NA,NA,NA,NA
143,"BELL, PHILIP",7667,30,24,54,42
144,"TAN, YONG",NA,NA,NA,NA,NA
145,"STEIN, JULIE",NA,NA,NA,NA,NA
146,"RAMSAY, DOUGLAS",2313,28,16,55,26
147,"MESBAHI, MEHRAN",6006,30,24,73,52
