,Name,Total Citations,h-index,5 year h-index,i10-index,5 year i10-index
148,"LILES, W",NA,NA,NA,NA,NA
149,"RUSSELL, DAVID",NA,NA,NA,NA,NA
150,"LOEB, LAWRENCE",41338,99,42,374,148
151,"HILLHOUSE, HUGH",7431,37,29,66,51
152,"HILLE, BERTIL",48784,96,40,202,122
153,"SEN, PRADYOT",1479,13,9,15,9
154,"ALLEN, CRAIG",NA,NA,NA,NA,NA
155,"TUNG, KA",NA,NA,NA,NA,NA
156,"PSATY, BRUCE",NA,NA,NA,NA,NA
157,"GHIRONI, FABIO",3247,24,16,34,19
158,"O'CONNOR, SEAN",NA,NA,NA,NA,NA
159,"HOWARD, JUDITH",NA,NA,NA,NA,NA
160,"REINHALL, PER",3119,29,19,68,38
161,"WEN, QUAN",842,13,9,20,9
162,"FOX, DIETER",52157,97,67,195,162
163,"KRONSTROM, MATS",NA,NA,NA,NA,NA
164,"SOMA, MANI",NA,NA,NA,NA,NA
165,"RAFAEL, VICENTE",NA,NA,NA,NA,NA
166,"RAMASASTRY, ANITA",NA,NA,NA,NA,NA
167,"REA, THOMAS",NA,NA,NA,NA,NA
168,"BODIK, RASTISLAV",9663,39,29,63,53
169,"KING, BRYAN",NA,NA,NA,NA,NA
170,"SALMON, MARLA",NA,NA,NA,NA,NA
171,"HIRSCHMAN, CHARLES",7312,42,22,97,44
172,"GREEN, PHILIP",NA,NA,NA,NA,NA
173,"KIRSCHEN, DANIEL",14837,51,43,110,98
174,"BRADFORD, WILLIAM",NA,NA,NA,NA,NA
175,"DEVASIA, SANTOSH",7480,37,25,71,47
176,"JARBOE, THOMAS",NA,NA,NA,NA,NA
177,"LAVITT, MELISSA",NA,NA,NA,NA,NA
178,"KRISHNAMURTHY, SANDEEP",3742,26,22,44,31
179,"OSTENDORF, MARI",14921,57,27,196,81
180,"PLOTNICK, ROBERT",5136,33,14,65,21
181,"BENNETT, IAN",NA,NA,NA,NA,NA
182,"RUBENSTEIN, JEFFREY",NA,NA,NA,NA,NA
183,"ERNST, MICHAEL",14635,56,43,125,98
184,"WELD, DANIEL",28422,84,46,180,118
185,"MARAVILLA, KENNETH",NA,NA,NA,NA,NA
186,"CHIZECK, HOWARD",7172,41,21,87,47
187,"STERGACHIS, ANDREAS",NA,NA,NA,NA,NA
188,"KAPLAN, DAVID",20116,60,37,90,69
189,"YANG, XIAOMING",NA,NA,NA,NA,NA
190,"RICHARDSON, THOMAS",3810,32,22,65,38
191,"DREWNOWSKI, ADAM",35802,99,63,278,213
192,"TURK, DENNIS",62281,123,66,365,255
193,"WEINER, ALAN",NA,NA,NA,NA,NA
194,"STONE, WENDY",16613,59,45,120,97
195,"PALMER, CAROLE",2674,26,20,51,35
196,"HARWOOD, CAROLINE",NA,NA,NA,NA,NA
197,"VARANI, GABRIELE",NA,NA,NA,NA,NA
198,"HILL, CHARLES",NA,NA,NA,NA,NA
199,"SHI, CHUAN",280,8,8,7,6
