,Name,Total Citations,h-index,5 year h-index,i10-index,5 year i10-index
0,"MURRAY, CHRISTOPHER",172471,153,118,492,392
1,"DODSON, THOMAS",14551,54,35,149,107
2,"PELLEGRINI, CARLOS",NA,NA,NA,NA,NA
3,"HARFORD, JARRAD",10101,30,28,48,40
4,"MAIER, RONALD",NA,NA,NA,NA,NA
5,"ELLENBOGEN, RICHARD",18433,59,45,154,124
6,"KUHL, PATRICIA",32058,79,52,176,118
7,"HOLMES, KING",NA,NA,NA,NA,NA
8,"MACLELLAN, W",NA,NA,NA,NA,NA
9,"VAN GELDER, RUSSELL",NA,NA,NA,NA,NA
10,"PALMATIER, ROBERT",8246,30,29,42,41
11,"FUTRAN, NEAL",NA,NA,NA,NA,NA
12,"MELTZOFF, ANDREW",48185,101,67,226,190
13,"BURGSTAHLER, DAVID",NA,NA,NA,NA,NA
14,"KARPOFF, JONATHAN",12838,34,27,46,39
15,"BERG, JOEL",NA,NA,NA,NA,NA
16,"CHEN, XIAO-PING",NA,NA,NA,NA,NA
17,"ODA, DOLPHINE",2170,27,11,44,12
18,"GLENNY, ROBB",7537,48,23,123,57
19,"SHANKLAND, STUART",NA,NA,NA,NA,NA
20,"KOTHA, SURESH",9660,33,24,37,32
21,"STEENSMA, HARVEY",NA,NA,NA,NA,NA
22,"WESSELLS, HUNTER",7357,51,32,99,85
23,"LEE, THOMAS",16404,44,35,63,50
24,"BOND, ALAN",NA,NA,NA,NA,NA
25,"AVOLIO, BRUCE",101059,116,96,191,174
26,"HODGE, FRANK",NA,NA,NA,NA,NA
27,"CROWDER, CHARLES",NA,NA,NA,NA,NA
28,"CATTERALL, WILLIAM",NA,NA,NA,NA,NA
29,"O'DONNELL, MATTHEW",19211,72,36,298,153
30,"THOMPSON, MATTHEW",NA,NA,NA,NA,NA
31,"HIMMELFARB, JONATHAN",NA,NA,NA,NA,NA
32,"SORENSEN, JOHN",NA,NA,NA,NA,NA
33,"WATERSTON, ROBERT",NA,NA,NA,NA,NA
34,"BEIRNE, OWEN",NA,NA,NA,NA,NA
35,"INADOMI, JOHN",12131,53,41,112,88
36,"FROEHNER, STANLEY",NA,NA,NA,NA,NA
37,"STERN, SUSAN",NA,NA,NA,NA,NA
38,"CATALANO, RICHARD",NA,NA,NA,NA,NA
39,"BYERS, PETER",NA,NA,NA,NA,NA
40,"TARCZY-HORNOCH, PETER",3254,36,20,67,34
41,"UNUTZER, JURGEN",NA,NA,NA,NA,NA
42,"ALPERS, CHARLES",NA,NA,NA,NA,NA
43,"MOINZADEH, KAMRAN",2792,22,14,31,20
44,"MCVAY, SARAH",5677,19,16,26,23
45,"FAN, YANQIN",4083,29,21,49,36
46,"MOKDAD, ALI",74681,113,80,338,262
47,"JEN, ALEX",NA,NA,NA,NA,NA
48,"GIACHELLI, CECILIA",25852,82,55,164,128
49,"RUBEL, EDWIN",NA,NA,NA,NA,NA
50,"TURNOVSKY, STEPHEN",17031,70,29,226,85
51,"WASSERHEIT, JUDITH",NA,NA,NA,NA,NA
52,"CELUM, CONNIE",NA,NA,NA,NA,NA
53,"DEY, DEBABRATA",1474,20,15,33,20
54,"MAYR, NINA",NA,NA,NA,NA,NA
55,"CHAIT, ALAN",NA,NA,NA,NA,NA
56,"CHAMPOUX, JAMES",NA,NA,NA,NA,NA
57,"VAN VOORHIS, WESLEY",NA,NA,NA,NA,NA
58,"CURTIS, JARED",NA,NA,NA,NA,NA
59,"LAZOWSKA, EDWARD",NA,NA,NA,NA,NA
60,"ABKOWITZ, JANIS",NA,NA,NA,NA,NA
61,"MALATESTA, PAUL",7035,20,18,23,18
62,"MIZIK, NATALIE",2404,21,15,24,20
63,"LAWARREE, JACQUES",2889,18,14,25,15
64,"BOHRINGER, KARL",5905,43,20,88,45
65,"GALE, MICHAEL",NA,NA,NA,NA,NA
66,"WAAS, MODERAGE",NA,NA,NA,NA,NA
67,"MILLER, SAMUEL",NA,NA,NA,NA,NA
68,"MURRY, CHARLES",40778,76,54,174,138
