,Name,Total Citations,h-index,5 year h-index,i10-index,5 year i10-index
200,"TEUTON, CHRISTOPHER",NA,NA,NA,NA,NA
201,"MARLOWE, JUSTIN",NA,NA,NA,NA,NA
202,"DARVEAU, RICHARD",NA,NA,NA,NA,NA
203,"MAJESKI, STEPHEN",NA,NA,NA,NA,NA
204,"YOST, MICHAEL",4792,38,22,91,48
205,"HUANG, GREG",NA,NA,NA,NA,NA
206,"KALMAN, DAVID",NA,NA,NA,NA,NA
207,"BASU, ANIRBAN",6167,37,26,62,52
208,"GAO, DAYONG",5002,38,20,106,67
209,"ZHANG, MIQIN",21959,66,57,146,138
210,"KASABA, RESAT",NA,NA,NA,NA,NA
211,"SPARKE, MATTHEW",NA,NA,NA,NA,NA
212,"KLASTORIN, THEODORE",NA,NA,NA,NA,NA
213,"SCHWARTZ, ILENE",5319,38,23,72,38
214,"GARBINI, JOSEPH",NA,NA,NA,NA,NA
215,"YUAN, CHUN",NA,NA,NA,NA,NA
216,"CONNOLLY, ANDREW",NA,NA,NA,NA,NA
217,"TREMBLAY, KELLY",4368,35,28,49,45
218,"DUDZINSKI, DENISE",475,13,9,15,9
219,"HEINEKEY, DENNIS",NA,NA,NA,NA,NA
220,"RETTIE, ALLAN",18145,64,34,156,101
221,"SIEGEL, ANDREW",NA,NA,NA,NA,NA
222,"RAFTERY, ADRIAN",64543,88,62,236,175
223,"WOODWARD, KATHLEEN",NA,NA,NA,NA,NA
224,"UNADKAT, JASHVANT",NA,NA,NA,NA,NA
225,"ROY, SUMIT",NA,NA,NA,NA,NA
226,"THUMMEL, KENNETH",NA,NA,NA,NA,NA
227,"KOVACS, SANDOR",1454,23,16,34,20
228,"GAMELIN, DANIEL",16576,64,50,140,126
229,"MATSEN, FREDERICK",NA,NA,NA,NA,NA
230,"BILMES, JEFFREY",13949,57,38,173,99
231,"WANG, RUIKANG",13857,58,46,290,225
232,"SANDERS, JOAN",NA,NA,NA,NA,NA
233,"STAYTON, PATRICK",20708,81,46,219,168
234,"RAFTERY, MICHAEL",NA,NA,NA,NA,NA
235,"YANG, ANAND",NA,NA,NA,NA,NA
236,"DANIEL, THOMAS",NA,NA,NA,NA,NA
237,"DOMINGOS, PEDRO",36599,81,54,142,113
238,"CASTNER, DAVID",NA,NA,NA,NA,NA
239,"NICOLAS, PETER",NA,NA,NA,NA,NA
240,"WANG, YINHAI",NA,NA,NA,NA,NA
241,"ZATZICK, DOUGLAS",NA,NA,NA,NA,NA
242,"CAMPBELL, CHARLES",27208,83,48,261,161
243,"FEROZ, EHSAN",2144,16,12,24,13
244,"MCKNIGHT, G",NA,NA,NA,NA,NA
245,"HERBERT, STEVEN",NA,NA,NA,NA,NA
246,"JARVIK, JEFFREY",9954,50,34,120,88
247,"ARMBRUST, E",NA,NA,NA,NA,NA
248,"IRVING, RONALD",NA,NA,NA,NA,NA
249,"BRENOWITZ, ELIOT",7458,49,25,96,60
250,"GROSSMAN, DANIEL",5421,36,25,69,53
251,"REH, THOMAS",NA,NA,NA,NA,NA
252,"DEMIRIS, GEORGE",NA,NA,NA,NA,NA
253,"CURLESS, BRIAN",23441,52,43,73,69
254,"WOLF, FREDRIC",NA,NA,NA,NA,NA
255,"SUCIU, DAN",27451,80,46,200,127
256,"MC CANN, MICHAEL",NA,NA,NA,NA,NA
257,"BRYERS, JAMES",6218,40,26,86,50
258,"HECKEL, BLAYNE",NA,NA,NA,NA,NA
259,"RATHOD, PRADIPSINH",NA,NA,NA,NA,NA
260,"PUN, SUZIE",8058,39,34,94,88
261,"AREAN, PATRICIA",NA,NA,NA,NA,NA
262,"HANNAFORD, BLAKE",18555,66,40,202,123
263,"REGNIER, MICHAEL",5451,34,24,82,64
264,"SHAPIRO, LINDA",18992,50,23,184,65
265,"DOBEL, J",NA,NA,NA,NA,NA
266,"RISKIN, EVE",4139,30,13,63,16
267,"NORONHA, GREGORY",1208,13,9,18,9
268,"WELLNER, JON",18801,49,31,106,67
269,"CALANDRILLO, STEVE",NA,NA,NA,NA,NA
270,"COLDWELL, SUSAN",NA,NA,NA,NA,NA
271,"ZIVOT, ERIC",10106,26,22,39,27
272,"MAIZELS, NANCY",NA,NA,NA,NA,NA
273,"VIDALE, JOHN",NA,NA,NA,NA,NA
274,"BATTISTI, DAVID",15891,56,38,109,86
275,"GLOYD, STEPHEN",NA,NA,NA,NA,NA
276,"MIZUMORI, SHERI",NA,NA,NA,NA,NA
277,"ANDERSON, ROBERT",NA,NA,NA,NA,NA
278,"EICHER, THEO",2949,27,20,39,26
279,"ZAGOTTA, WILLIAM",NA,NA,NA,NA,NA
280,"AKEY, JOSHUA",NA,NA,NA,NA,NA
281,"BROWN, ZANE",NA,NA,NA,NA,NA
282,"HARTMANN, DENNIS",23278,72,45,154,108
283,"SCOTT, ELAINE",NA,NA,NA,NA,NA
284,"RANSOM, BRUCE",18040,78,33,179,83
285,"KESSLER, LARRY",NA,NA,NA,NA,NA
286,"TURCK, MARVIN",NA,NA,NA,NA,NA
287,"ATLAS, LES",8792,43,21,115,46
288,"SAVAGE, MARTIN",14948,68,35,167,97
289,"SCHINDLER, DANIEL",14905,62,43,149,123
290,"DOORENBOS, ARDITH",NA,NA,NA,NA,NA
291,"MAHONEY, JOE",NA,NA,NA,NA,NA
292,"FAUSTMAN, ELAINE",NA,NA,NA,NA,NA
293,"DALE, DAVID",NA,NA,NA,NA,NA
294,"SHUMLAK, URI",1468,22,13,32,22
295,"STORM, DANIEL",NA,NA,NA,NA,NA
296,"KARLIN, ANNA",12703,48,26,77,55
297,"KLEVIT, RACHEL",NA,NA,NA,NA,NA
298,"KAEBERLEIN, MATT",19102,55,46,132,122
299,"DAGGETT, VALERIE",NA,NA,NA,NA,NA
