,Name,Total Citations,h-index,5 year h-index,i10-index,5 year i10-index
400,"SCHLOSSER, ANN",NA,NA,NA,NA,NA
401,"SYNOVEC, ROBERT",NA,NA,NA,NA,NA
402,"WORDEMAN, LINDA",NA,NA,NA,NA,NA
403,"BOSTROM, ANN",7076,33,27,55,45
404,"GREMBOWSKI, DAVID",4530,34,20,79,40
405,"KORSHIN, GREGORY",4645,38,29,84,71
406,"PRATT, WANDA",5580,38,28,79,61
407,"BERG, JOHN",NA,NA,NA,NA,NA
408,"DOUGHERTY, CYNTHIA",NA,NA,NA,NA,NA
409,"THORNTON, JUDITH",NA,NA,NA,NA,NA
410,"MOODY, WILLIAM",NA,NA,NA,NA,NA
411,"GALLAGHER, EVAN",NA,NA,NA,NA,NA
412,"HILL, KRISTI",NA,NA,NA,NA,NA
413,"HU, SHIU-LOK",NA,NA,NA,NA,NA
414,"MONTGOMERY, DAVID",NA,NA,NA,NA,NA
415,"STUVE, ERIC",2868,29,13,48,18
416,"VEDAL, SVERRE",NA,NA,NA,NA,NA
417,"TUTTLE, MARK",NA,NA,NA,NA,NA
418,"MC COY, ANNE",NA,NA,NA,NA,NA
419,"ROSENFELD, MICHAEL",NA,NA,NA,NA,NA
420,"SUNG, KELVIN",904,17,10,25,13
421,"MACCOSS, MICHAEL",18188,64,51,145,133
422,"MANOIL, COLIN",NA,NA,NA,NA,NA
423,"NELSON, BRUCE",NA,NA,NA,NA,NA
424,"WHITNEY, JOANNE",NA,NA,NA,NA,NA
425,"YAFFE, LAURENCE",14527,51,32,94,47
426,"XU, WENQING",NA,NA,NA,NA,NA
427,"ROSE, GREGORY",4964,34,25,55,41
428,"GEORGE, WILLIAM",6987,44,32,109,82
429,"KAVANAGH, TERRANCE",NA,NA,NA,NA,NA
430,"JAFFE, DANIEL",11386,57,40,138,108
431,"MITCHELL, PAMELA",16280,49,34,111,75
432,"STIBER, MICHAEL",732,17,5,22,1
433,"LONDON, TODD",NA,NA,NA,NA,NA
434,"MORRIS, WANDA",NA,NA,NA,NA,NA
435,"STEIG, ERIC",12738,53,39,129,102
436,"ZIERLER, BRENDA",NA,NA,NA,NA,NA
437,"LADIGES, WARREN",NA,NA,NA,NA,NA
438,"LEROUX, BRIAN",NA,NA,NA,NA,NA
439,"PARSEK, MATTHEW",NA,NA,NA,NA,NA
440,"RUZZO, WALTER",15195,47,29,76,48
441,"ROSENBERG, LESLIE",NA,NA,NA,NA,NA
442,"HOFFMAN, CHRISTOPHER",870,16,13,24,14
443,"VAUGHN, LEA",NA,NA,NA,NA,NA
444,"POLLACK, GERALD",NA,NA,NA,NA,NA
445,"DALCANTON, JULIANNE",NA,NA,NA,NA,NA
446,"EMERSON, SCOTT",NA,NA,NA,NA,NA
447,"SCHWARTZ, STEPHEN",NA,NA,NA,NA,NA
448,"SHEN, DANNY",NA,NA,NA,NA,NA
449,"STEVENS, NANCY",NA,NA,NA,NA,NA
450,"KRAMLICH, JOHN",NA,NA,NA,NA,NA
451,"HURLEY, JAMES",NA,NA,NA,NA,NA
452,"ROHDE, STEFFEN",NA,NA,NA,NA,NA
453,"LINGAPPA, JAISRI",NA,NA,NA,NA,NA
454,"MILLER, GERALD",NA,NA,NA,NA,NA
455,"TUNCEL, SELIM",NA,NA,NA,NA,NA
456,"LARSON, TIMOTHY",10477,60,38,145,91
457,"KIMELMAN, DAVID",NA,NA,NA,NA,NA
458,"XIA, ZHENGUI",NA,NA,NA,NA,NA
459,"NITTROUER, CHARLES",11477,65,31,141,85
460,"HWANG, JENQ-NENG",8544,41,24,162,63
461,"BELZA, BASIA",NA,NA,NA,NA,NA
462,"HALLET, BERNARD",NA,NA,NA,NA,NA
463,"MEADOWS, VICTORIA",5762,39,30,85,69
464,"MARTIN, MICHAEL",4869,31,19,60,35
465,"GUGERTY, MARY",2578,15,14,19,16
466,"KOBLITZ, NEAL",17063,40,23,69,48
467,"HERTING, JERALD",NA,NA,NA,NA,NA
468,"SEIXAS, NOAH",NA,NA,NA,NA,NA
469,"KEMP, SUSAN",NA,NA,NA,NA,NA
470,"MCDERMOTT, LILLIAN",NA,NA,NA,NA,NA
471,"MCDONALD, DAVID",7622,36,27,69,49
472,"SHEPPARD, ELIZABETH",NA,NA,NA,NA,NA
473,"WATTS, KATHRYN",NA,NA,NA,NA,NA
474,"STATEN, HENRY",NA,NA,NA,NA,NA
475,"SWALLA, BILLIE",5358,39,23,84,38
476,"MAZZA, JAMES",NA,NA,NA,NA,NA
477,"ALBERTI, MARINA",8933,34,30,42,35
478,"ZUMETA, WILLIAM",NA,NA,NA,NA,NA
479,"STUETZLE, WERNER",NA,NA,NA,NA,NA
480,"BAIOCCHI, ORLANDO",NA,NA,NA,NA,NA
481,"DELANEY, JOHN",NA,NA,NA,NA,NA
482,"LAWSON, VICTORIA",NA,NA,NA,NA,NA
483,"WONG, SHAWN",NA,NA,NA,NA,NA
484,"KAUFMAN, JOEL",NA,NA,NA,NA,NA
485,"THOMAS, CRAIG",NA,NA,NA,NA,NA
486,"SARIKAYA, MEHMET",NA,NA,NA,NA,NA
487,"TAKENAKA, TOSHIKO",NA,NA,NA,NA,NA
488,"BINDER, MARC",5252,44,13,68,21
489,"NGHIEM, PAUL",NA,NA,NA,NA,NA
490,"FAN, MARY",NA,NA,NA,NA,NA
491,"KLINGER, TERRIE",NA,NA,NA,NA,NA
492,"TEMPEL, BRUCE",NA,NA,NA,NA,NA
493,"HAUSCHKA, STEPHEN",NA,NA,NA,NA,NA
494,"MASTROIANNI, ANNA",NA,NA,NA,NA,NA
495,"OHUCHI, FUMIO",NA,NA,NA,NA,NA
496,"BECKETT, KATHERINE",NA,NA,NA,NA,NA
497,"IVEZIC, ZELJKO",82766,124,80,254,210
498,"TORO, TATIANA",NA,NA,NA,NA,NA
499,"GROSS, TED",4237,38,23,61,48
